Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Stim_Type,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,Day,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,ctx,Repeat_Count,Brp_R,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Text_Ctx2.started,Instr_CR_Text_Ctx2.stopped,Instr_CR_Press_Ctx2.keys,Instr_CR_Press_Ctx2.rt,Instr_CR_Press_Ctx2.started,Instr_CR_Press_Ctx2.stopped,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,RT,0,2,0.33233757102374994,1,1,0,1,274.391112399986,None,h,1,0.3227766000200063,274.391112399986,None,274.391112399986,None,274.391112399986,None,274.75408149999566,None,274.75408149999566,None,275.0659716001246,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,RT,0,3,0.7039937559285312,1,1,0,1,275.2734993000049,None,l,1,0.27939849998801947,275.2734993000049,None,275.2734993000049,None,275.2734993000049,None,275.58870239998214,None,275.58870239998214,None,275.8993874001317,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,RT,0,4,0.872964165247031,1,1,0,1,276.11517400015146,None,u,1,0.38952860003337264,276.11517400015146,None,276.11517400015146,None,276.11517400015146,None,276.5393002999481,None,276.5393002999481,None,276.84930779994465,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,RT,0,5,1.1394062366143523,1,1,0,1,277.0694985999726,None,h,1,0.3236151998862624,277.0694985999726,None,277.0694985999726,None,277.0694985999726,None,277.4216192001477,None,277.4216192001477,None,277.73268310003914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,RT,0,6,1.061316174435353,1,1,0,1,277.9609732001554,None,l,1,0.3602277000900358,277.9609732001554,None,277.9609732001554,None,277.9609732001554,None,278.3705973001197,None,278.3705973001197,None,278.6833860001061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,RT,0,7,0.3348754156049787,1,1,0,1,278.8886760000605,None,i,1,0.3935078999493271,278.8886760000605,None,278.8886760000605,None,278.8886760000605,None,279.3087190000806,None,279.3087190000806,None,279.61602500011213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,0,0.9180316000880522,1,1,0,1,,,,,,,,,,,,,,,,283.2999671001453,None,279.8583148000762,None,h,0.726578300120309,279.8583148000762,None,280.63192320009694,None,h,0.6090759998187423,280.63192320009694,None,0,0,281.3063962000888,None,281.3063962000888,None,281.3063962000888,None,281.98272319999523,None,i,1,1.62290080008097,281.3063962000888,None,282.99800399993546,None,282.99800399993546,None,282.99800399993546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,1,1.2894248164272892,1,1,0,1,,,,,,,,,,,,,,,,285.5329206001479,None,,,,,,,,,,,,,0,0,283.51025209994987,None,283.51025209994987,None,283.51025209994987,None,283.7994411000982,None,l,1,1.6905155999120325,283.51025209994987,None,285.22812870005146,None,285.22812870005146,None,285.22812870005146,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,2,0.4690493079954645,1,1,0,1,,,,,,,,,,,,,,,,287.7827405000571,None,,,,,,,,,,,,,0,0,285.7488862001337,None,285.7488862001337,None,285.7488862001337,None,286.86847169999965,None,h,1,1.6767736999318004,285.7488862001337,None,287.46964560006745,None,287.46964560006745,None,287.46964560006745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,3,0.17372637527504353,1,1,0,1,,,,,,,,,,,,,,,,289.9828866000753,None,,,,,,,,,,,,,0,0,287.9942783000879,None,287.9942783000879,None,287.9942783000879,None,289.399298600154,None,u,1,1.6305945001076907,287.9942783000879,None,289.6819905999582,None,289.6819905999582,None,289.6819905999582,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,4,1.2796446371736179,1,1,0,1,,,,,,,,,,,,,,,,292.1327959999908,None,,,,,,,,,,,,,0,0,290.202259400161,None,290.202259400161,None,290.202259400161,None,290.51694900006987,None,l,1,1.5828357001300901,290.202259400161,None,291.8236343001481,None,291.8236343001481,None,291.8236343001481,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,5,0.5020450956284221,1,1,0,1,,,,,,,,,,,,,,,,294.04950950015336,None,,,,,,,,,,,,,0,0,292.34085209993646,None,292.34085209993646,None,292.34085209993646,None,293.43274550000206,None,l,0,1.3326962001156062,292.34085209993646,None,293.7449132001493,None,293.7449132001493,None,293.7449132001493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,6,0.9088984943071963,1,1,0,1,,,,,,,,,,,,,,,,296.332552799955,None,,,,,,,,,,,,,0,0,294.25924090016633,None,294.25924090016633,None,294.25924090016633,None,294.9328735000454,None,h,1,1.7265572000760585,294.25924090016633,None,296.028732100036,None,296.028732100036,None,296.028732100036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,7,0.3682846641535089,1,1,0,1,,,,,,,,,,,,,,,,301.1495995000005,None,,,,,,,,,,,,,0,1,296.5451122999657,298.33267100015655,296.5451122999657,298.33267100015655,296.5451122999657,298.33267100015655,297.76661760010757,298.33267100015655,None,0,,296.5451122999657,None,,,,,,,298.3672098000534,None,298.3672098000534,None,h,0.7626113998703659,300.3661466999911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,0,1.2985061880076092,2,1,0,1,,,,,,,,,,,,,,,,304.08455320005305,None,,,,,,,301.3560681999661,None,h,0.7245686000678688,301.3560681999661,None,0,0,302.1106545000803,None,302.1106545000803,None,302.1106545000803,None,302.3992556000594,None,l,1,1.6340699000284076,302.1106545000803,None,303.77768429997377,None,303.77768429997377,None,303.77768429997377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,1,0.6005448384522694,2,1,0,1,,,,,,,,,,,,,,,,306.2330494001508,None,,,,,,,,,,,,,0,0,304.3018575999886,None,304.3018575999886,None,304.3018575999886,None,305.30024660006166,None,i,1,1.5949249998666346,304.3018575999886,None,305.92443970008753,None,305.92443970008753,None,305.92443970008753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,2,0.5563920184149029,2,1,0,1,,,,,,,,,,,,,,,,308.3494105001446,None,,,,,,,,,,,,,0,0,306.44525160011835,None,306.44525160011835,None,306.44525160011835,None,307.4663659001235,None,l,1,1.5716248999815434,306.44525160011835,None,308.04112210008316,None,308.04112210008316,None,308.04112210008316,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1941,Context_Learning_new,2020.1.3,60.03182893635858,
