Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,CR_Old_Grp_R_Bool.thisRepN,CR_Old_Grp_R_Bool.thisTrialN,CR_Old_Grp_R_Bool.thisN,CR_Old_Grp_R_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,ctx,Repeat_Count,Brp_R,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Old_Text_Ctx2.started,Instr_CR_Old_Text_Ctx2.stopped,Instr_CR_Old_Press_Ctx2.keys,Instr_CR_Old_Press_Ctx2.rt,Instr_CR_Old_Press_Ctx2.started,Instr_CR_Old_Press_Ctx2.stopped,Instr_RT_text.started,Instr_RT_text.stopped,Instr_RT_key_resp.keys,Instr_RT_key_resp.rt,Instr_RT_key_resp.started,Instr_RT_key_resp.stopped,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,RT_Hand,0,1,0.3777289724315136,1,1,0,20.40914150001481,None,u,1,0.3832300999201834,20.40914150001481,None,20.40914150001481,None,20.40914150001481,None,20.83877669996582,None,20.83877669996582,None,21.15146189997904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,TR_Hand,0,0,0.1379014101096503,1,1,0,,,,,,,,,,,,,,,,24.51830599992536,None,21.351469399873167,None,h,0.6887616000603884,21.351469399873167,None,22.10394009994343,None,u,0.48782240017317235,22.10394009994343,None,0,0,22.659793599974364,None,22.659793599974364,None,22.659793599974364,None,24.118328399956226,None,u,0,1.4921679999679327,22.659793599974364,None,24.212843999965116,None,24.212843999965116,None,24.212843999965116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,1,1.1316467973445228,1,1,0,,,,,,,,,,,,,,,,26.70148939988576,None,,,,,,,,,,,,,0,0,24.72689719987102,None,24.72689719987102,None,24.72689719987102,None,25.184929099865258,None,h,1,1.5850784999784082,24.72689719987102,None,26.39999599987641,None,26.39999599987641,None,26.39999599987641,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,TR_Hand,0,0,0.7145313985200459,2,1,0,,,,,,,,,,,,,,,,29.285795399919152,None,,,,,,,26.903962000040337,None,h,0.4800491000059992,26.903962000040337,None,0,0,27.418582299957052,None,27.418582299957052,None,27.418582299957052,None,28.285044699907303,None,l,1,1.5252745000179857,27.418582299957052,None,28.982021499890834,None,28.982021499890834,None,28.982021499890834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,1,1.2244217815345624,2,1,0,,,,,,,,,,,,,,,,31.418780399952084,None,,,,,,,,,,,,,0,0,29.492780399974436,None,29.492780399974436,None,29.492780399974436,None,29.86819179984741,None,u,1,1.5790594001300633,29.492780399974436,None,31.10902289999649,None,31.10902289999649,None,31.10902289999649,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,CR_Old,0,0,0.676616305652255,1,1,,,,,,,,,,,,,33.61806569993496,None,33.61806569993496,None,33.94133279984817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.61881489981897,None,h,0.49299070006236434,31.61881489981897,None,media/djnb.png,1,0,0,32.15106930001639,32.15106930001639,32.15106930001639,None,32.15106930001639,None,h,1,1.4014001002069563,32.15106930001639,None,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,u,CR_Old,0,1,0.26928418647901275,1,1,,,,,,,,,,,,,35.25773900002241,None,35.25773900002241,None,36.29570539994165,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,1,0,0,34.161802999908105,34.161802999908105,34.161802999908105,None,34.161802999908105,None,l,0,1.0300553999841213,34.161802999908105,None,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,u,CR_Old,0,1,0.9775235679965435,1,1,,,,,,,,,,,,,37.166256999829784,None,37.166256999829784,None,37.479253199882805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,1,1,0,36.53619150002487,36.53619150002487,36.53619150002487,None,36.53619150002487,None,u,1,0.551924099912867,36.53619150002487,None,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,CR_Old,0,2,0.26985439304665726,1,1,,,,,,,,,,,,,38.41113919997588,None,38.41113919997588,None,38.74227469996549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,1,0,0,37.7065644999966,37.7065644999966,37.7065644999966,None,37.7065644999966,None,h,1,0.645459100138396,37.7065644999966,None,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,i,CR_Old,0,3,0.7724401315826184,1,1,,,,,,,,,,,,,39.646186699857935,None,39.646186699857935,None,39.95931389997713,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,0,0,38.97743709990755,38.97743709990755,38.97743709990755,None,38.97743709990755,None,i,1,0.575642199954018,38.97743709990755,None,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,i,CR_Old,0,4,0.7503864792876924,1,1,,,,,,,,,,,,,40.74784559989348,None,40.74784559989348,None,41.067494799848646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,0,0,40.18199449987151,40.18199449987151,40.18199449987151,None,40.18199449987151,None,i,1,0.4903289000503719,40.18199449987151,None,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,CR_Old,0,5,0.5781387502013684,1,1,,,,,,,,,,,,,42.07038149982691,None,42.07038149982691,None,42.39382090000436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,1,0,0,41.27644239994697,41.27644239994697,41.27644239994697,None,41.27644239994697,None,l,1,0.7152627999894321,41.27644239994697,None,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,u,CR_Old,0,6,0.45874470941431467,1,1,,,,,,,,,,,,,43.1051470998209,None,43.1051470998209,None,43.42725439998321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,1,0,0,42.63147319993004,42.63147319993004,42.63147319993004,None,42.63147319993004,None,u,1,0.3766546999104321,42.63147319993004,None,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,CR_Old,0,7,0.5751652751829046,1,1,,,,,,,,,,,,,44.05414529982954,None,44.05414529982954,None,44.38156219990924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,1,0,0,43.64436619984917,43.64436619984917,43.64436619984917,None,43.64436619984917,None,l,1,0.31560140009969473,43.64436619984917,None,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,CR_Old,0,8,0.31158339971205784,1,1,,,,,,,,,,,,,45.40061839995906,None,45.40061839995906,None,45.71452619996853,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,1,0,0,44.59533299994655,44.59533299994655,44.59533299994655,None,44.59533299994655,None,l,1,0.7410150000359863,44.59533299994655,None,,,,,,,,,,,,,1,1,2020_Dec_04_0127,Context_Learning_new,2020.1.3,60.075719453866064,
