Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Stim_Type,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,Day,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,ctx,Repeat_Count,Brp_R,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,RT,0,2,0.5730977023508996,1,1,0,1,11.570681900018826,None,u,1,0.4623793000355363,11.570681900018826,None,11.570681900018826,None,11.570681900018826,None,12.066415500128642,None,12.066415500128642,None,12.376405599992722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,RT,0,3,0.9727348488975023,1,1,0,1,12.587146800011396,None,i,1,0.35803349991329014,12.587146800011396,None,12.587146800011396,None,12.587146800011396,None,12.985836799954996,None,12.985836799954996,None,13.293251099996269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,RT,0,4,0.6200116902919826,1,1,0,1,13.499152400065213,None,h,1,0.445892299991101,13.499152400065213,None,13.499152400065213,None,13.499152400065213,None,13.96640200004913,None,13.96640200004913,None,14.276719500077888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,RT,0,5,0.22237770898976006,1,1,0,1,14.482819499913603,None,l,1,0.4943607000168413,14.482819499913603,None,14.482819499913603,None,14.482819499913603,None,15.003344400087371,None,15.003344400087371,None,15.31000449997373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,RT,0,6,1.2646543856346808,1,1,0,1,15.516374400118366,None,u,1,0.5647803999017924,15.516374400118366,None,15.516374400118366,None,15.516374400118366,None,16.131056000012904,None,16.131056000012904,None,16.443165099946782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,RT,0,7,1.1604372072030906,1,1,0,1,16.653134000021964,None,i,1,0.5319829999934882,16.653134000021964,None,16.653134000021964,None,16.653134000021964,None,17.22844440001063,None,17.22844440001063,None,17.543546400032938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,0,0.9232650150665415,1,1,0,1,,,,,,,,,,,,,,,,23.143249100074172,None,17.75908019999042,None,h,2.721931800013408,17.75908019999042,None,20.539656300097704,None,h,0.6773427000734955,20.539656300097704,None,0,0,21.284583000000566,None,21.284583000000566,None,21.284583000000566,None,21.96172309992835,None,i,1,1.4851356998551637,21.284583000000566,None,22.839581799926236,None,22.839581799926236,None,22.839581799926236,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,1,0.22431343831300832,1,1,0,1,,,,,,,,,,,,,,,,25.260830899933353,None,,,,,,,,,,,,,0,0,23.374752500094473,None,23.374752500094473,None,23.374752500094473,None,24.74323319992982,None,l,1,1.5382256999146193,23.374752500094473,None,24.958981700008735,None,24.958981700008735,None,24.958981700008735,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,2,0.28663381140832644,1,1,0,1,,,,,,,,,,,,,,,,27.495268299942836,None,,,,,,,,,,,,,0,0,25.473768800031394,None,25.473768800031394,None,25.473768800031394,None,26.779103900073096,None,h,1,1.6711221998557448,25.473768800031394,None,27.18357009999454,None,27.18357009999454,None,27.18357009999454,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,3,0.472828634565164,1,1,0,1,,,,,,,,,,,,,,,,29.726646200055256,None,,,,,,,,,,,,,0,0,27.723014899995178,None,27.723014899995178,None,27.723014899995178,None,28.829306199913844,None,u,0,1.6460446000564843,27.723014899995178,None,29.424054800067097,None,29.424054800067097,None,29.424054800067097,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,4,0.6018523218359859,1,1,0,1,,,,,,,,,,,,,,,,31.74504439998418,None,,,,,,,,,,,,,0,0,29.937562100123614,None,29.937562100123614,None,29.937562100123614,None,30.928181499941275,None,l,1,1.4636825998313725,29.937562100123614,None,31.436675700126216,None,31.436675700126216,None,31.436675700126216,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,5,0.38026572884626497,1,1,0,1,,,,,,,,,,,,,,,,33.89350520004518,None,,,,,,,,,,,,,0,0,31.953692800132558,None,31.953692800132558,None,31.953692800132558,None,33.159978799987584,None,h,1,1.5996852999087423,31.953692800132558,None,33.58698199992068,None,33.58698199992068,None,33.58698199992068,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,6,0.8115588410233924,1,1,0,1,,,,,,,,,,,,,,,,36.026525900000706,None,,,,,,,,,,,,,0,0,34.125539700035006,None,34.125539700035006,None,34.125539700035006,None,34.89359740004875,None,u,1,1.5555225000716746,34.125539700035006,None,35.71667210012674,None,35.71667210012674,None,35.71667210012674,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,7,0.4769783895794104,1,1,0,1,,,,,,,,,,,,,,,,38.110186900012195,None,,,,,,,,,,,,,0,0,36.24262459995225,None,36.24262459995225,None,36.24262459995225,None,37.360367600107566,None,u,1,1.5268079000525177,36.24262459995225,None,37.80039809993468,None,37.80039809993468,None,37.80039809993468,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,0,0.8725842497195817,2,1,0,1,,,,,,,,,,,,,,,,40.86037230002694,None,,,,,,,38.329363299999386,None,h,0.5515586000401527,38.329363299999386,None,0,0,38.921325700124726,None,38.921325700124726,None,38.921325700124726,None,39.6270081999246,None,u,1,1.58374539995566,38.921325700124726,None,40.54637390002608,None,40.54637390002608,None,40.54637390002608,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,1,0.2842693054315737,2,1,0,1,,,,,,,,,,,,,,,,43.09345990000293,None,,,,,,,,,,,,,0,0,41.08884599991143,None,41.08884599991143,None,41.08884599991143,None,42.39367550006136,None,l,0,1.6486704999115318,41.08884599991143,None,42.7897312999703,None,42.7897312999703,None,42.7897312999703,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,2,0.7306086869478534,2,1,0,1,,,,,,,,,,,,,,,,45.36038150009699,None,,,,,,,,,,,,,0,0,43.301215399987996,None,43.301215399987996,None,43.301215399987996,None,44.161635800031945,None,l,1,1.715624300064519,43.301215399987996,None,45.05383879994042,None,45.05383879994042,None,45.05383879994042,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,3,0.18151884235550964,2,1,0,1,,,,,,,,,,,,,,,,47.443551999982446,None,,,,,,,,,,,,,0,0,45.56799130002037,None,45.56799130002037,None,45.56799130002037,None,46.979072500020266,None,h,0,1.5293076999951154,45.56799130002037,None,47.13804790005088,None,47.13804790005088,None,47.13804790005088,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,4,0.7969827070162154,2,1,0,1,,,,,,,,,,,,,,,,49.42734199995175,None,,,,,,,,,,,,,0,0,47.67334740003571,None,47.67334740003571,None,47.67334740003571,None,48.46042020013556,None,i,0,1.4157273999881,47.67334740003571,None,49.122813099995255,None,49.122813099995255,None,49.122813099995255,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,5,1.2743790179839434,2,1,0,1,,,,,,,,,,,,,,,,51.42707709991373,None,,,,,,,,,,,,,0,0,49.6340399000328,None,49.6340399000328,None,49.6340399000328,None,49.96018590009771,None,i,1,1.4390498998109251,49.6340399000328,None,51.127579499967396,None,51.127579499967396,None,51.127579499967396,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,6,0.8696891554787941,2,1,0,1,,,,,,,,,,,,,,,,53.34440049994737,None,,,,,,,,,,,,,0,0,51.65764220012352,None,51.65764220012352,None,51.65764220012352,None,52.37694300012663,None,h,1,1.3273334000259638,51.65764220012352,None,53.032883000094444,None,53.032883000094444,None,53.032883000094444,None,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,7,0.9864773548034036,2,1,0,1,,,,,,,,,,,,,,,,57.74594930000603,None,,,,,,,,,,,,,1,0,53.552742399973795,None,53.552742399973795,None,53.552742399973795,None,54.144454299937934,None,h,1,1.2166355999652296,53.552742399973795,None,,,,,,,54.813884099945426,None,54.813884099945426,None,h,0.9193369999993593,56.810433899983764,None,,,,,,,,,,,1,1,2020_Dec_04_1919,Context_Learning_new,2020.1.3,60.064533350535086,
