Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,CR_Old_Grp_R_Bool.thisRepN,CR_Old_Grp_R_Bool.thisTrialN,CR_Old_Grp_R_Bool.thisN,CR_Old_Grp_R_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,ctx,Repeat_Count,Brp_R,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Old_Text_Ctx2.started,Instr_CR_Old_Text_Ctx2.stopped,Instr_CR_Old_Press_Ctx2.keys,Instr_CR_Old_Press_Ctx2.rt,Instr_CR_Old_Press_Ctx2.started,Instr_CR_Old_Press_Ctx2.stopped,Instr_RT_text.started,Instr_RT_text.stopped,Instr_RT_key_resp.keys,Instr_RT_key_resp.rt,Instr_RT_key_resp.started,Instr_RT_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,RT_Hand,0,1,0.5939174773396265,1,1,0,14.739228300051764,None,i,1,0.3449492999352515,14.739228300051764,None,14.739228300051764,None,14.739228300051764,None,15.108667700085789,None,15.108667700085789,None,15.417139499913901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,RT_Hand,0,2,1.0290382810585526,1,1,0,15.63426459999755,None,l,1,0.3366054000798613,15.63426459999755,None,15.63426459999755,None,15.63426459999755,None,16.012325200019404,None,16.012325200019404,None,16.317326599964872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,RT_Hand,0,3,0.9536413225309025,1,1,0,16.522773599950597,None,l,1,0.3684863999951631,16.522773599950597,None,16.522773599950597,None,16.522773599950597,None,16.92836260003969,None,16.92836260003969,None,17.233485199976712,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,RT_Hand,0,4,0.9039968025146874,1,1,0,17.440084799891338,None,i,1,0.3953829000238329,17.440084799891338,None,17.440084799891338,None,17.440084799891338,None,17.87637499999255,None,17.87637499999255,None,18.183474600082263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,0,0.4050646316755999,1,1,0,,,,,,,,,,,,,,,,21.550163599895313,None,18.383490900043398,None,h,0.6674639000557363,18.383490900043398,None,19.08645120006986,None,h,0.4446195000782609,19.08645120006986,None,0,0,19.594050399959087,None,19.594050399959087,None,19.594050399959087,None,20.766780500067398,None,u,0,1.5772084998898208,19.594050399959087,None,21.248685099883005,None,21.248685099883005,None,21.248685099883005,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,1,0.8122893182330352,1,1,0,,,,,,,,,,,,,,,,25.933457900071517,None,,,,,,,,,,,,,0,1,21.758918799925596,23.53347810008563,21.758918799925596,23.53347810008563,21.758918799925596,23.53347810008563,22.53352649998851,23.53347810008563,None,0,,21.758918799925596,None,,,,,,,23.57642460009083,None,23.57642460009083,None,h,0.34432490007020533,25.570292599964887,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,TR_Hand,0,2,1.2935793773650368,1,1,0,,,,,,,,,,,,,,,,28.166957000037655,None,,,,,,,,,,,,,0,0,26.14615250006318,None,26.14615250006318,None,26.14615250006318,None,26.433458199957386,None,l,1,1.6485947000328451,26.14615250006318,None,27.86040379991755,None,27.86040379991755,None,27.86040379991755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,3,0.8249928291101273,1,1,0,,,,,,,,,,,,,,,,30.433611399959773,None,,,,,,,,,,,,,0,0,28.375984099926427,None,28.375984099926427,None,28.375984099926427,None,29.150261899922043,None,h,1,1.7069822000339627,28.375984099926427,None,30.125535500003025,None,30.125535500003025,None,30.125535500003025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,4,1.1698981842646143,1,1,0,,,,,,,,,,,,,,,,32.71681470004842,None,,,,,,,,,,,,,0,0,30.650851600104943,None,30.650851600104943,None,30.650851600104943,None,31.067370200064033,None,u,1,1.7279646000824869,30.650851600104943,None,32.40962260006927,None,32.40962260006927,None,32.40962260006927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,0,1.2702979684498679,2,1,0,,,,,,,,,,,,,,,,35.583542899927124,None,,,,,,,32.92335249995813,None,h,0.6554515000898391,32.92335249995813,None,0,0,33.61153839994222,None,33.61153839994222,None,33.61153839994222,None,33.918624399928376,None,h,1,1.631242400035262,33.61153839994222,None,35.27877190010622,None,35.27877190010622,None,35.27877190010622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,1,1.045769478505192,2,1,0,,,,,,,,,,,,,,,,37.85235799988732,None,,,,,,,,,,,,,0,0,35.80518430005759,None,35.80518430005759,None,35.80518430005759,None,36.350768300006166,None,i,1,1.7015373001340777,35.80518430005759,None,37.54268139996566,None,37.54268139996566,None,37.54268139996566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,2,0.3353932226095022,2,1,0,,,,,,,,,,,,,,,,39.96681459993124,None,,,,,,,,,,,,,0,0,38.074848799966276,None,38.074848799966276,None,38.074848799966276,None,39.3168214999605,None,u,0,1.543656700057909,38.074848799966276,None,39.66278599994257,None,39.66278599994257,None,39.66278599994257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,3,0.13500638232352924,2,1,0,,,,,,,,,,,,,,,,41.96704369992949,None,,,,,,,,,,,,,0,0,40.18340520001948,None,40.18340520001948,None,40.18340520001948,None,41.63340929988772,None,l,0,1.4511344998609275,40.18340520001948,None,41.65926799993031,None,41.65926799993031,None,41.65926799993031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,TR_Hand,0,4,0.33443901927810193,2,1,0,,,,,,,,,,,,,,,,44.03363940003328,None,,,,,,,,,,,,,0,0,42.177429700037464,None,42.177429700037464,None,42.177429700037464,None,43.43423209991306,None,h,0,1.5132744999136776,42.177429700037464,None,43.72821269999258,None,43.72821269999258,None,43.72821269999258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
