Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,CR_Old_Grp_R_Bool.thisRepN,CR_Old_Grp_R_Bool.thisTrialN,CR_Old_Grp_R_Bool.thisN,CR_Old_Grp_R_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,ctx,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,Day,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Text_Ctx2.started,Instr_CR_Text_Ctx2.stopped,Instr_CR_Press_Ctx2.keys,Instr_CR_Press_Ctx2.rt,Instr_CR_Press_Ctx2.started,Instr_CR_Press_Ctx2.stopped,Instr_RT_Text.started,Instr_RT_Text.stopped,Instr_RT_Press.keys,Instr_RT_Press.rt,Instr_RT_Press.started,Instr_RT_Press.stopped,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,Hand,i,RT,0,0,2,1,0,1,0.3391557598889541,1,12.874982999870554,None,i,1,0.35725170001387596,12.874982999870554,None,12.874982999870554,None,12.874982999870554,None,13.258319199783728,None,13.258319199783728,None,13.569437899859622,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,Hand,l,RT,0,0,3,1,0,1,0.3331443632855866,1,13.796123899985105,None,l,1,0.29293580004014075,13.796123899985105,None,13.796123899985105,None,13.796123899985105,None,14.126312299864367,None,14.126312299864367,None,14.437974700005725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Hand,u,TR,0,0,0,1,0,1,0.7610535095269126,1,,,,,,,,,,,,,,,,17.687420699978247,None,14.672557999845594,None,h,0.41559939994476736,14.672557999845594,None,15.13457759981975,None,h,0.5388418000657111,15.13457759981975,None,15.733002699911594,None,15.733002699911594,None,15.733002699911594,None,16.552813799818978,None,u,1,1.5873441000003368,15.733002699911594,None,17.383664299966767,None,17.383664299966767,None,17.383664299966767,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Hand,h,TR,0,0,1,1,0,1,0.5854006081267222,1,,,,,,,,,,,,,,,,19.805464499862865,None,,,,,,,,,,,,,17.920194800011814,None,17.920194800011814,None,17.920194800011814,None,18.92117189988494,None,h,1,1.5284190000966191,17.920194800011814,None,19.496886199805886,None,19.496886199805886,None,19.496886199805886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Hand,u,TR,0,0,2,1,0,1,0.15165727692645659,1,,,,,,,,,,,,,,,,22.05391199979931,None,,,,,,,,,,,,,20.028994399821386,None,20.028994399821386,None,20.028994399821386,None,21.473008799832314,None,l,0,1.6513543000910431,20.028994399821386,None,21.73928469978273,None,21.73928469978273,None,21.73928469978273,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Hand,h,TR,0,0,3,1,0,1,0.9191698131569624,1,,,,,,,,,,,,,,,,24.305169499944896,None,,,,,,,,,,,,,22.28109999978915,None,22.28109999978915,None,22.28109999978915,None,22.955251399893314,None,h,1,1.6720839000772685,22.28109999978915,None,23.99321989994496,None,23.99321989994496,None,23.99321989994496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,Hand,i,TR,0,0,0,1,0,2,0.7553891084132018,1,,,,,,,,,,,,,,,,27.70465279999189,None,,,,,,,24.51885119988583,None,h,1.0501445999834687,24.51885119988583,None,25.610705099999905,None,25.610705099999905,None,25.610705099999905,None,26.453683499945328,None,i,1,1.7335435999557376,25.610705099999905,None,27.402253499953076,None,27.402253499953076,None,27.402253499953076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,Hand,l,TR,0,0,1,1,0,2,1.1416902947882606,1,,,,,,,,,,,,,,,,29.90294999978505,None,,,,,,,,,,,,,27.920662899967283,None,27.920662899967283,None,27.920662899967283,None,28.371272899908945,None,l,1,1.639380200067535,27.920662899967283,None,29.595590399811044,None,29.595590399811044,None,29.595590399811044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Hand,u,TR,0,0,2,1,0,2,0.14470268994891078,1,,,,,,,,,,,,,,,,34.32148789986968,None,,,,,,,,,,,,,30.119175100000575,31.903497599996626,30.119175100000575,31.903497599996626,30.119175100000575,31.903497599996626,31.569879099959508,31.903497599996626,None,0,,30.119175100000575,None,,,,,,,31.939766899915412,None,31.939766899915412,None,h,0.3684159000404179,33.936189599800855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Hand,h,TR,0,0,3,1,0,2,0.959019847151211,1,,,,,,,,,,,,,,,,36.536873099859804,None,,,,,,,,,,,,,34.54681139998138,None,34.54681139998138,None,34.54681139998138,None,35.18642059992999,None,h,1,1.637659400003031,34.54681139998138,None,36.224680699873716,None,36.224680699873716,None,36.224680699873716,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Symb,i,CR,0,0,0,1,0,1,1.8,1,,,,,,,,,,,,40.43250329978764,None,40.43250329978764,None,40.749582699965686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.78296469990164,None,l,0.4891867998521775,36.78296469990164,None,media/dnnb.png,37.32678689993918,37.32678689993918,37.32678689993918,None,37.32678689993918,None,i,1,2.9855652002152056,37.32678689993918,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Symb,u,CR,0,0,1,1,0,1,1.8,1,,,,,,,,,,,,41.44773629982956,None,41.44773629982956,None,41.78510239999741,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,40.987222799798474,40.987222799798474,40.987222799798474,None,40.987222799798474,None,u,1,0.3967327999416739,40.987222799798474,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Symb,l,CR,0,0,2,1,0,1,1.8,1,,,,,,,,,,,,42.634816400008276,None,42.634816400008276,None,42.946541499812156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,42.01885029999539,42.01885029999539,42.01885029999539,None,42.01885029999539,None,l,1,0.5497137999627739,42.01885029999539,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
