Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,ctx,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,Day,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.started,TR_Press_Hand.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,TR_Press_Hand.rt,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Text_Ctx2.started,Instr_CR_Text_Ctx2.stopped,Instr_CR_Press_Ctx2.keys,Instr_CR_Press_Ctx2.rt,Instr_CR_Press_Ctx2.started,Instr_CR_Press_Ctx2.stopped,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,Hand,i,RT,0,0,2,1,0,1,0.4273758211862173,1,26.57576489984058,None,i,1,0.3587491998914629,26.57576489984058,None,26.57576489984058,None,26.57576489984058,None,26.960551699856296,None,26.960551699856296,None,27.268423500005156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Hand,u,RT,0,0,3,1,0,1,0.5401462702250661,1,27.496505199931562,None,u,1,0.43009859998710454,27.496505199931562,None,27.496505199931562,None,27.496505199931562,None,27.976793200010434,None,27.976793200010434,None,28.285311399959028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Hand,u,TR,0,0,0,1,0,1,0.3984920204063891,1,,,,,,,,,,,,,,,,34.70525350002572,None,28.500791899859905,None,h,0.45804719999432564,28.500791899859905,None,29.040225399890915,None,h,0.38256880012340844,29.040225399890915,None,29.483154099900275,31.268216900061816,29.483154099900275,31.268216900061816,29.483154099900275,31.268216900061816,30.67063169996254,31.268216900061816,None,0,29.483154099900275,None,31.300155400065705,None,31.300155400065705,None,h,1.393630800070241,33.28495949995704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Hand,h,TR,0,0,1,1,0,1,1.1858622491514996,1,,,,,,,,,,,,,,,,37.020413799909875,None,,,,,,,,,,,,,34.931598499882966,None,34.931598499882966,None,34.931598499882966,None,35.33715589996427,None,h,1,34.931598499882966,None,,,,,,,,,1.6989011000841856,36.71980159985833,None,36.71980159985833,None,36.71980159985833,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,Hand,i,TR,0,0,2,1,0,1,0.4452498387477699,1,,,,,,,,,,,,,,,,39.23557460005395,None,,,,,,,,,,,,,37.244015200063586,None,37.244015200063586,None,37.244015200063586,None,38.386322400067,None,i,1,37.244015200063586,None,,,,,,,,,1.6426637000404298,38.93050009990111,None,38.93050009990111,None,38.93050009990111,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,Hand,i,TR,0,0,3,1,0,1,1.1354880685644066,1,,,,,,,,,,,,,,,,41.46811469993554,None,,,,,,,,,,,,,39.45292879990302,None,39.45292879990302,None,39.45292879990302,None,39.903799899853766,None,i,1,39.45292879990302,None,,,,,,,,,1.6812418999616057,41.162223799852654,None,41.162223799852654,None,41.162223799852654,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,Hand,i,TR,0,0,0,1,0,2,1.0867824214469421,1,,,,,,,,,,,,,,,,44.218086699955165,None,,,,,,,41.67441900004633,None,h,0.5397946001030505,41.67441900004633,None,42.2518376999069,None,42.2518376999069,None,42.2518376999069,None,42.75418439996429,None,i,1,42.2518376999069,None,,,,,,,,,1.6189768000040203,43.919055899837986,None,43.919055899837986,None,43.919055899837986,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,Hand,l,TR,0,0,1,1,0,2,0.30197301443642255,1,,,,,,,,,,,,,,,,46.469714500010014,None,,,,,,,,,,,,,44.430311899865046,None,44.430311899865046,None,44.430311899865046,None,45.719768499955535,None,l,1,44.430311899865046,None,,,,,,,,,1.7038394999690354,46.164871599990875,None,46.164871599990875,None,46.164871599990875,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,Hand,u,TR,0,0,2,1,0,2,0.08024505898470569,1,,,,,,,,,,,,,,,,48.802052199840546,None,,,,,,,,,,,,,46.71381799993105,None,46.71381799993105,None,46.71381799993105,None,48.21804429986514,None,u,1,46.71381799993105,None,,,,,,,,,1.7483846999239177,48.49233589996584,None,48.49233589996584,None,48.49233589996584,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Hand,h,TR,0,0,3,1,0,2,0.3673834139917165,1,,,,,,,,,,,,,,,,51.08482569991611,None,,,,,,,,,,,,,49.01295410003513,None,49.01295410003513,None,49.01295410003513,None,50.23493489995599,None,h,1,49.01295410003513,None,,,,,,,,,1.722253100015223,50.78002619999461,None,50.78002619999461,None,50.78002619999461,None,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,2,1,Symb,u,CR,0,0,0,1,0,1,1.8,1,,,,,,,,,,,,58.70065949996933,None,58.70065949996933,None,59.739285599906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.29741310002282,None,h,5.037539799930528,51.29741310002282,None,media/dinb.png,56.37689909990877,56.37689909990877,56.37689909990877,None,56.37689909990877,None,h,0,2.1974182000849396,56.37689909990877,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,2,1,Symb,u,CR,0,1,0,1,0,1,1.8,1,,,,,,,,,,,,60.121232100063935,None,60.121232100063935,None,60.44723379984498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,59.984791999915615,59.984791999915615,59.984791999915615,None,59.984791999915615,None,u,1,0.06137260003015399,59.984791999915615,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,3,1,Symb,l,CR,0,0,1,1,0,1,1.8,1,,,,,,,,,,,,62.14742619986646,None,62.14742619986646,None,62.483073299983516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,60.663588399998844,60.663588399998844,60.663588399998844,None,60.663588399998844,None,l,1,1.4224723998922855,60.663588399998844,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,0,1,Symb,h,CR,0,0,2,1,0,1,1.8,1,,,,,,,,,,,,63.167377799982205,None,63.167377799982205,None,64.1888486999087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,62.700365599943325,62.700365599943325,62.700365599943325,None,62.700365599943325,None,i,0,0.3937548000831157,62.700365599943325,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,0,1,Symb,h,CR,0,1,2,1,0,1,1.8,1,,,,,,,,,,,,67.72266769991256,None,67.72266769991256,None,68.0510137998499,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,64.4390759000089,64.4390759000089,64.4390759000089,None,64.4390759000089,None,h,1,3.207075099926442,64.4390759000089,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,0,1,Symb,h,CR,0,0,3,1,0,1,1.8,1,,,,,,,,,,,,68.9280807999894,None,68.9280807999894,None,69.26184000005014,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,68.29017130006105,68.29017130006105,68.29017130006105,None,68.29017130006105,None,h,1,0.5164383000228554,68.29017130006105,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,3,1,Symb,l,CR,0,0,4,1,0,1,1.8,1,,,,,,,,,,,,70.31745660002343,None,70.31745660002343,None,70.63752199988812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,69.50196129991673,69.50196129991673,69.50196129991673,None,69.50196129991673,None,l,1,0.7531058001331985,69.50196129991673,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
