Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,3,0.46092588426497305,1,1,0,,,,,,,,,,,,,,,,28.074228699784726,None,,,,,,,,,,,,,0,0,26.365478499792516,None,26.365478499792516,None,26.365478499792516,None,27.49184179981239,None,u,0,1.3643521999474615,26.365478499792516,None,27.76053519989364,None,27.76053519989364,None,27.76053519989364,None,,,,,,,,1,001,2020_Dec_04_0036,Context_Learning_new,2020.1.3,60.81308314456356,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,4,0.7434047623580353,1,1,0,,,,,,,,,,,,,,,,30.074357899837196,None,,,,,,,,,,,,,0,0,28.302951199933887,None,28.302951199933887,None,28.302951199933887,None,29.157554999925196,None,u,1,1.425840900046751,28.302951199933887,None,29.764880699804053,None,29.764880699804053,None,29.764880699804053,None,,,,,,,,1,001,2020_Dec_04_0036,Context_Learning_new,2020.1.3,60.81308314456356,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0036,Context_Learning_new,2020.1.3,60.81308314456356,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,0,0.7598922998166406,2,1,0,,,,,,,,,,,,,,,,32.74075529980473,None,,,,,,,30.29514059983194,None,u,0.6350022000260651,30.29514059983194,None,0,0,30.989706999855116,None,30.989706999855116,None,30.989706999855116,None,31.82420439994894,None,h,0,1.39613449992612,30.989706999855116,None,32.43010639981367,None,32.43010639981367,None,32.43010639981367,None,,,,,,,,1,001,2020_Dec_04_0036,Context_Learning_new,2020.1.3,60.81308314456356,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,1,1.193173617742756,2,1,0,,,,,,,,,,,,,,,,34.87546689994633,None,,,,,,,,,,,,,0,0,32.97172179981135,None,32.97172179981135,None,32.97172179981135,None,33.36097259982489,None,h,1,1.5585882000159472,32.97172179981135,None,34.56713899993338,None,34.56713899993338,None,34.56713899993338,None,,,,,,,,1,001,2020_Dec_04_0036,Context_Learning_new,2020.1.3,60.81308314456356,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,2,0.6002879596289998,2,1,0,,,,,,,,,,,,,,,,36.94099759985693,None,,,,,,,,,,,,,0,0,35.09811189980246,None,35.09811189980246,None,35.09811189980246,None,36.09129729983397,None,h,1,1.5037431998644024,35.09811189980246,None,36.63268839986995,None,36.63268839986995,None,36.63268839986995,None,,,,,,,,1,001,2020_Dec_04_0036,Context_Learning_new,2020.1.3,60.81308314456356,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,3,0.0077731192477836775,2,1,0,,,,,,,,,,,,,,,,38.991262999828905,None,,,,,,,,,,,,,0,0,37.161989599931985,None,37.161989599931985,None,37.161989599931985,None,None,None,i,0,1.4718621000647545,37.161989599931985,None,38.685727400006726,None,38.685727400006726,None,38.685727400006726,None,,,,,,,,1,001,2020_Dec_04_0036,Context_Learning_new,2020.1.3,60.81308314456356,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,4,0.14059618363620507,2,1,0,,,,,,,,,,,,,,,,41.00744599988684,None,,,,,,,,,,,,,0,0,39.203465699916705,None,39.203465699916705,None,39.203465699916705,None,40.64079450001009,None,l,0,1.4466107999905944,39.203465699916705,None,40.693030199967325,None,40.693030199967325,None,40.693030199967325,None,,,,,,,,1,001,2020_Dec_04_0036,Context_Learning_new,2020.1.3,60.81308314456356,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0036,Context_Learning_new,2020.1.3,60.81308314456356,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.207507599843666,None,h,0.6188219001051039,41.207507599843666,None,media/djnb.png,,,,,,,
