Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,CR_Old_Grp_R_Bool.thisRepN,CR_Old_Grp_R_Bool.thisTrialN,CR_Old_Grp_R_Bool.thisN,CR_Old_Grp_R_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,ctx,Repeat_Count,Brp_R,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Old_Text_Ctx2.started,Instr_CR_Old_Text_Ctx2.stopped,Instr_CR_Old_Press_Ctx2.keys,Instr_CR_Old_Press_Ctx2.rt,Instr_CR_Old_Press_Ctx2.started,Instr_CR_Old_Press_Ctx2.stopped,Instr_RT_text.started,Instr_RT_text.stopped,Instr_RT_key_resp.keys,Instr_RT_key_resp.rt,Instr_RT_key_resp.started,Instr_RT_key_resp.stopped,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,RT_Hand,0,1,1.2393774796279389,1,1,0,15.309236499946564,None,i,1,0.3529411000199616,15.309236499946564,None,15.309236499946564,None,15.309236499946564,None,15.692998700076714,None,15.692998700076714,None,16.003020300064236,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,RT_Hand,0,2,0.45329159626703275,1,1,0,16.22819159994833,None,u,1,0.3378218000289053,16.22819159994833,None,16.22819159994833,None,16.22819159994833,None,16.600677700014785,None,16.600677700014785,None,16.903346400009468,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,RT_Hand,0,3,1.1760231423767735,1,1,0,17.109663899987936,None,l,1,0.3925819001160562,17.109663899987936,None,17.109663899987936,None,17.109663899987936,None,17.52522820001468,None,17.52522820001468,None,17.838880700059235,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,RT_Hand,0,4,1.1961876353415646,1,1,0,18.059692400041968,None,u,1,0.39414380001835525,18.059692400041968,None,18.059692400041968,None,18.059692400041968,None,18.47609640005976,None,18.47609640005976,None,18.78607359994203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,RT_Hand,0,5,0.07208625441824168,1,1,0,18.99358749995008,None,h,1,0.3808716000057757,18.99358749995008,None,18.99358749995008,None,18.99358749995008,None,19.424723700154573,None,19.424723700154573,None,19.736264399951324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,RT_Hand,0,6,0.6400990977590719,1,1,0,19.94264949997887,None,i,1,0.31977550010196865,19.94264949997887,None,19.94264949997887,None,19.94264949997887,None,20.295479600084946,None,20.295479600084946,None,20.603086800081655,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,RT_Hand,0,7,1.052099874867694,1,1,0,20.8122990000993,None,l,1,0.44162470009177923,20.8122990000993,None,20.8122990000993,None,20.8122990000993,None,21.277621499961242,None,21.277621499961242,None,21.5869502001442,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,0,0.3059411364922757,1,1,0,,,,,,,,,,,,,,,,25.1532660999801,None,21.788391000125557,None,h,0.6976607998367399,21.788391000125557,None,22.51669319998473,None,h,0.5939404000528157,22.51669319998473,None,0,0,23.187558100093156,None,23.187558100093156,None,23.187558100093156,None,24.469600999960676,None,u,1,1.5945760000031441,23.187558100093156,None,24.848906100029126,None,24.848906100029126,None,24.848906100029126,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,1,1.291810409609515,1,1,0,,,,,,,,,,,,,,,,27.31976899993606,None,,,,,,,,,,,,,0,0,25.364304899936542,None,25.364304899936542,None,25.364304899936542,None,25.653263800079003,None,u,1,1.6176450999919325,25.364304899936542,None,27.010914199985564,None,27.010914199985564,None,27.010914199985564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,TR_Hand,0,2,0.06824092829745543,1,1,0,,,,,,,,,,,,,,,,29.386471700156108,None,,,,,,,,,,,,,0,0,27.538341500097886,None,27.538341500097886,None,27.538341500097886,None,29.053086100146174,None,l,1,1.5155310998670757,27.538341500097886,None,29.07880420004949,None,29.07880420004949,None,29.07880420004949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,TR_Hand,0,3,0.4746790550716129,1,1,0,,,,,,,,,,,,,,,,31.503029000014067,None,,,,,,,,,,,,,0,0,29.595700500067323,None,29.595700500067323,None,29.595700500067323,None,30.703322099987417,None,l,1,1.5709005000535399,29.595700500067323,None,31.199336000019684,None,31.199336000019684,None,31.199336000019684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,4,0.014684041096343803,1,1,0,,,,,,,,,,,,,,,,33.63645859993994,None,,,,,,,,,,,,,0,0,31.710825100075454,None,31.710825100075454,None,31.710825100075454,None,33.286360000027344,None,h,1,1.591721300035715,31.710825100075454,None,33.32684370013885,None,33.32684370013885,None,33.32684370013885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,5,0.9607768337532293,1,1,0,,,,,,,,,,,,,,,,35.71992140007205,None,,,,,,,,,,,,,0,0,33.866705999942496,None,33.866705999942496,None,33.866705999942496,None,34.48660820000805,None,i,1,1.5240265000611544,33.866705999942496,None,35.41897820006125,None,35.41897820006125,None,35.41897820006125,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,6,0.9998985707392347,1,1,0,,,,,,,,,,,,,,,,40.739692100090906,None,,,,,,,,,,,,,1,0,35.94693129998632,None,35.94693129998632,None,35.94693129998632,None,36.55316360015422,None,u,0,1.187000700039789,35.94693129998632,None,,,,,,,37.183839299948886,None,37.183839299948886,None,h,1.5400967001914978,39.17015050002374,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,7,0.2307557170876331,1,1,0,,,,,,,,,,,,,,,,42.98643149994314,None,,,,,,,,,,,,,0,0,40.961347500095144,None,40.961347500095144,None,40.961347500095144,None,42.33682770002633,None,u,0,1.6688328001182526,40.961347500095144,None,42.68649600003846,None,42.68649600003846,None,42.68649600003846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_0115,Context_Learning_new,2020.1.3,59.989981666614725,
