Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,CR_Old_Grp_R_Bool.thisRepN,CR_Old_Grp_R_Bool.thisTrialN,CR_Old_Grp_R_Bool.thisN,CR_Old_Grp_R_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,ctx,Repeat_count,Trial_count,Brp_R,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Old_Text_Ctx2.started,Instr_CR_Old_Text_Ctx2.stopped,Instr_CR_Old_Press_Ctx2.keys,Instr_CR_Old_Press_Ctx2.rt,Instr_CR_Old_Press_Ctx2.started,Instr_CR_Old_Press_Ctx2.stopped,Instr_RT_text.started,Instr_RT_text.stopped,Instr_RT_key_resp.keys,Instr_RT_key_resp.rt,Instr_RT_key_resp.started,Instr_RT_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,RT_Hand,0,1,0.7562147864216442,1,1,0,15.088783199898899,None,u,1,0.4190704000648111,15.088783199898899,None,15.088783199898899,None,15.088783199898899,None,15.53521789982915,None,15.53521789982915,None,15.847885999828577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,RT_Hand,0,2,1.1571853744667213,1,1,0,16.068673599977046,None,h,1,0.35952730011194944,16.068673599977046,None,16.068673599977046,None,16.068673599977046,None,16.45235849986784,None,16.45235849986784,None,16.7618203999009,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,RT_Hand,0,3,1.0920256465372389,1,1,0,16.985075799981132,None,i,0,0.34686920000240207,16.985075799981132,None,16.985075799981132,None,16.985075799981132,None,17.384923599893227,None,17.384923599893227,None,18.395383900031447,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,RT_Hand,0,4,1.11555564012843,1,1,0,18.622237999923527,None,i,1,0.5425110999494791,18.622237999923527,None,18.622237999923527,None,18.622237999923527,None,19.188968899892643,None,19.188968899892643,None,19.495125700021163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,TR_Hand,0,0,0.848919569589909,1,1,0,,,,,,,,,,,,,,,,22.761881799902767,None,19.697834399994463,None,h,0.41793869994580746,19.697834399994463,None,20.164402399910614,None,h,0.49587079999037087,20.164402399910614,None,0,0,20.7108159000054,None,20.7108159000054,None,20.7108159000054,None,21.447826199932024,None,u,0,1.7170111001469195,20.7108159000054,None,22.45640409993939,None,22.45640409993939,None,22.45640409993939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,1,1.1606178624175398,1,1,0,,,,,,,,,,,,,,,,25.06449200003408,None,,,,,,,,,,,,,0,0,22.978065700037405,None,22.978065700037405,None,22.978065700037405,None,23.41182029992342,None,h,1,1.7377009999472648,22.978065700037405,None,24.753770499955863,None,24.753770499955863,None,24.753770499955863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,2,0.46651360101468975,1,1,0,,,,,,,,,,,,,,,,27.278681399999186,None,,,,,,,,,,,,,0,0,25.286408299813047,None,25.286408299813047,None,25.286408299813047,None,26.414331099949777,None,i,1,1.62957560014911,25.286408299813047,None,26.971064599929377,None,26.971064599929377,None,26.971064599929377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,3,1.275965124087051,1,1,0,,,,,,,,,,,,,,,,29.464663099963218,None,,,,,,,,,,,,,0,0,27.48580179992132,None,27.48580179992132,None,27.48580179992132,None,27.812077899929136,None,u,1,1.6300270999781787,27.48580179992132,None,29.156264699995518,None,29.156264699995518,None,29.156264699995518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,TR_Hand,0,4,0.8919954199917348,1,1,0,,,,,,,,,,,,,,,,31.678836999926716,None,,,,,,,,,,,,,0,0,29.697177399881184,None,29.697177399881184,None,29.697177399881184,None,30.39814189984463,None,l,1,1.6345349999610335,29.697177399881184,None,31.37232319987379,None,31.37232319987379,None,31.37232319987379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,0,0.04074901124020691,2,1,0,,,,,,,,,,,,,,,,35.96288380003534,None,,,,,,,31.881748299812898,None,h,2.170666699996218,31.881748299812898,None,0,0,34.090359499910846,None,34.090359499910846,None,34.090359499910846,None,35.62883979990147,None,u,0,1.5302595000248402,34.090359499910846,None,35.649085599929094,None,35.649085599929094,None,35.649085599929094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,TR_Hand,0,1,0.2361826383207961,2,1,0,,,,,,,,,,,,,,,,38.06225869990885,None,,,,,,,,,,,,,0,0,36.172380399890244,None,36.172380399890244,None,36.172380399890244,None,37.51229469990358,None,i,1,1.543632899876684,36.172380399890244,None,37.75320149981417,None,37.75320149981417,None,37.75320149981417,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,2,0.3824675835004765,2,1,0,,,,,,,,,,,,,,,,40.0789087000303,None,,,,,,,,,,,,,0,0,38.269998099887744,None,38.269998099887744,None,38.269998099887744,None,39.47912549995817,None,l,0,1.4540707000996917,38.269998099887744,None,39.76958499988541,None,39.76958499988541,None,39.76958499988541,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,TR_Hand,0,3,0.35560869751716995,2,1,0,,,,,,,,,,,,,,,,42.19555069995113,None,,,,,,,,,,,,,0,0,40.30886260000989,None,40.30886260000989,None,40.30886260000989,None,41.54537579999305,None,h,1,1.5347965999972075,40.30886260000989,None,41.88384639983997,None,41.88384639983997,None,41.88384639983997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,TR_Hand,0,4,0.7456078346706561,2,1,0,,,,,,,,,,,,,,,,44.37985309981741,None,,,,,,,,,,,,,0,0,42.403748399810866,None,42.403748399810866,None,42.403748399810866,None,43.26218199986033,None,u,1,1.6406078001018614,42.403748399810866,None,44.07233849982731,None,44.07233849982731,None,44.07233849982731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,CR_Old,0,,1.2237846921756728,1,1,,,,,,,,,,,,,52.51087179989554,None,52.51087179989554,None,52.83312139986083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.57898679981008,None,h,0.944777199998498,44.57898679981008,None,media/djnb.png,1,0,0,0,45.56256069988012,45.56256069988012,45.56256069988012,None,45.56256069988012,None,h,1,6.881927399896085,45.56256069988012,None,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,CR_Old,0,,0.8299230575550883,1,1,,,,,,,,,,,,,54.070800999877974,None,54.070800999877974,None,55.08708019996993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,1,0,2,0,53.071469499962404,53.071469499962404,53.071469499962404,None,53.071469499962404,None,u,0,0.9399911998771131,53.071469499962404,None,,,,,,,,,,,,,1,001,2020_Dec_04_0044,Context_Learning_new,2020.1.3,60.197375170948185,
