Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Stim_Type,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,Day,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.started,TR_Press_Hand.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,TR_Press_Hand.rt,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,ctx,Repeat_Count,Brp_R,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,RT,0,5,0.331208551615491,1,1,0,1,17.323699600063264,None,l,1,0.34824920003302395,17.323699600063264,None,17.323699600063264,None,17.323699600063264,None,17.712965700076893,None,17.712965700076893,None,18.018864799989387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,RT,0,6,0.4678884046180347,1,1,0,1,18.229406600119546,None,h,1,0.3306336998939514,18.229406600119546,None,18.229406600119546,None,18.229406600119546,None,18.606113699963316,None,18.606113699963316,None,18.902605700073764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,RT,0,7,1.2993184348941906,1,1,0,1,19.10895110014826,None,l,1,0.36305600008927286,19.10895110014826,None,19.10895110014826,None,19.10895110014826,None,19.515368200140074,None,19.515368200140074,None,19.82010959996842,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,0,0.0641825623697132,1,1,0,1,,,,,,,,,,,,,,,,31.75245809997432,None,20.057574399979785,None,h,7.022503699874505,20.057574399979785,None,27.121516100130975,None,h,0.599233299959451,27.121516100130975,None,0,1,27.792860600166023,29.587829699972644,27.792860600166023,29.587829699972644,27.792860600166023,29.587829699972644,29.319144000066444,29.587829699972644,None,0,27.792860600166023,None,29.61834460007958,None,29.61834460007958,None,h,0.13322190009057522,31.603025200078264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,1,0.9427423217388311,1,1,0,1,,,,,,,,,,,,,,,,33.902587900171056,None,,,,,,,,,,,,,0,0,31.977562800049782,None,31.977562800049782,None,31.977562800049782,None,32.63566080015153,None,l,1,31.977562800049782,None,,,,,,,,,1.5273917000740767,33.59654830000363,None,33.59654830000363,None,33.59654830000363,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,2,0.9980480137158203,1,1,0,1,,,,,,,,,,,,,,,,38.51930840010755,None,,,,,,,,,,,,,1,0,34.11155030014925,None,34.11155030014925,None,34.11155030014925,None,34.70270650018938,None,l,1,34.11155030014925,None,35.08122309995815,None,35.08122309995815,None,h,1.4345922998618335,37.06925519998185,None,0.9286903999745846,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,3,1.064474355268921,1,1,0,1,,,,,,,,,,,,,,,,40.68609270011075,None,,,,,,,,,,,,,0,0,38.73027200018987,None,38.73027200018987,None,38.73027200018987,None,39.25243200012483,None,h,1,38.73027200018987,None,,,,,,,,,1.5985465000849217,40.38473349995911,None,40.38473349995911,None,40.38473349995911,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,4,0.8818779138698715,1,1,0,1,,,,,,,,,,,,,,,,42.85265010013245,None,,,,,,,,,,,,,0,0,40.89858489995822,None,40.89858489995822,None,40.89858489995822,None,41.60263610002585,None,h,1,40.89858489995822,None,,,,,,,,,1.5978737000841647,42.54533730004914,None,42.54533730004914,None,42.54533730004914,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,5,1.1438395559439707,1,1,0,1,,,,,,,,,,,,,,,,44.98593130009249,None,,,,,,,,,,,,,0,0,43.060306100174785,None,43.060306100174785,None,43.060306100174785,None,43.51930500008166,None,i,1,43.060306100174785,None,,,,,,,,,1.588135200086981,44.67737690010108,None,44.67737690010108,None,44.67737690010108,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,6,1.1159264041575898,1,1,0,1,,,,,,,,,,,,,,,,47.16926180012524,None,,,,,,,,,,,,,0,0,45.21065860008821,None,45.21065860008821,None,45.21065860008821,None,45.68583140010014,None,u,1,45.21065860008821,None,,,,,,,,,1.6131541000213474,46.85968940006569,None,46.85968940006569,None,46.85968940006569,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,7,0.19812356936044528,1,1,0,1,,,,,,,,,,,,,,,,49.3361198999919,None,,,,,,,,,,,,,0,0,47.38051540008746,None,47.38051540008746,None,47.38051540008746,None,48.770015800138935,None,l,0,47.38051540008746,None,,,,,,,,,1.5796091000083834,49.0209540000651,None,49.0209540000651,None,49.0209540000651,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,0,0.04551349070251587,2,1,0,1,,,,,,,,,,,,,,,,52.33616259996779,None,,,,,,,49.54742270009592,None,h,0.7405320999678224,49.54742270009592,None,0,0,50.330525800120085,None,50.330525800120085,None,50.330525800120085,None,51.86929890001193,None,u,0,50.330525800120085,None,,,,,,,,,1.661337000085041,52.023085199994966,None,52.023085199994966,None,52.023085199994966,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,1,1.0785394867921685,2,1,0,1,,,,,,,,,,,,,,,,54.35276499995962,None,,,,,,,,,,,,,0,0,52.5518930000253,None,52.5518930000253,None,52.5518930000253,None,53.06977060018107,None,i,1,52.5518930000253,None,,,,,,,,,1.4239653998520225,54.04282069997862,None,54.04282069997862,None,54.04282069997862,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,2,0.5244698943500223,2,1,0,1,,,,,,,,,,,,,,,,56.43662010016851,None,,,,,,,,,,,,,0,0,54.561282500158995,None,54.561282500158995,None,54.561282500158995,None,55.62160830013454,None,h,0,54.561282500158995,None,,,,,,,,,1.5426370000932366,56.12721540010534,None,56.12721540010534,None,56.12721540010534,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,3,0.45422646337090744,2,1,0,1,,,,,,,,,,,,,,,,58.45259730005637,None,,,,,,,,,,,,,0,0,56.646408500149846,None,56.646408500149846,None,56.646408500149846,None,57.769519299967214,None,u,1,56.646408500149846,None,,,,,,,,,1.473469000076875,58.14866190007888,None,58.14866190007888,None,58.14866190007888,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,4,1.2233861962167683,2,1,0,1,,,,,,,,,,,,,,,,60.585943300044164,None,,,,,,,,,,,,,0,0,58.660438399994746,None,58.660438399994746,None,58.660438399994746,None,59.036157900001854,None,h,1,58.660438399994746,None,,,,,,,,,1.563619100023061,60.27692570001818,None,60.27692570001818,None,60.27692570001818,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,5,1.1663897314445104,2,1,0,1,,,,,,,,,,,,,,,,62.68668070016429,None,,,,,,,,,,,,,0,0,60.81093360017985,None,60.81093360017985,None,60.81093360017985,None,61.2360980999656,None,h,1,60.81093360017985,None,,,,,,,,,1.5411215999629349,62.380294300150126,None,62.380294300150126,None,62.380294300150126,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
